Comment,Designator,Footprint,LCSC
D,D3,Diode_TH_SMD,
SW_PUSH,SW7,ResetSW,
ProMicro,U1,ProMicro_v2_1side,
D,D2,Diode_TH_SMD,
SW_PUSH,SW2,CherryMX_Solder_1u,
SW_PUSH,SW5,CherryMX_Solder_1.75u,
SW_PUSH,SW4,CherryMX_Solder_1.5u,
D,D4,Diode_TH_SMD,
SW_PUSH,SW6,SW_Cherry_MX_ISOEnter_PCB,
D,D6,Diode_TH_SMD,
D,D5,Diode_TH_SMD,
Val**,Ref02,m2_Screw_Hole,
D,D1,Diode_TH_SMD,
SW_PUSH,SW1,CherryMX_Solder_1u,
SW_PUSH,SW3,CherryMX_Solder_1u,
